text	from	to	moment
je viens de Saint-germain-sur-meuse et je veux aller à Ruffec	Saint-germain-sur-meuse	Ruffec	
Quel est l'itinéraire entre Villefranche-de-rouergue et Issoire	Villefranche-de-rouergue	Issoire	
Ma provenance et ma destination sont Cinq-mars-la-pile et Le Meux	Cinq-mars-la-pile	Le Meux	
Indique moi le chemin pour Marle depuis Chemilly-sur-yonne	Chemilly-sur-yonne	Marle	
je veux partir de Blonville-sur-mer pour Aytré	Blonville-sur-mer	Aytré	
Je me rends à Jaunay-clan en partant de Livry-gargan	Livry-gargan	Jaunay-clan	
Le train Épierre Parempuyre	Épierre	Parempuyre	
Je quitte Saint-cloud pour Gambsheim	Saint-cloud	Gambsheim	
Je pars de Woincourt pour aller à Marchezais dans un moment	Woincourt	Marchezais	dans un moment
Je me rends à Tonnerre en partant de Taverny	Taverny	Tonnerre	
Quel est l'itinéraire entre Saint-julien-du-sault et Saint-etienne-du-rouvray	Saint-julien-du-sault	Saint-etienne-du-rouvray	
Je veux aller de Anglefort à Miribel demain	Anglefort	Miribel	demain
Je pars de Verneuil-sur-seine pour aller à Le Cailar dans cinq heures	Verneuil-sur-seine	Le Cailar	dans cinq heures
itinéraire de voyage de Saint-hilaire-les-places vers Lingolsheim	Saint-hilaire-les-places	Lingolsheim	
Je souhaiterai avoir des informations sur le train Valdahon Foëcy qui part prochainement	Valdahon	Foëcy	prochainement
Comment aller de Willer-sur-thur à Roncenay	Willer-sur-thur	Roncenay	
j'aimerais partir de Bailleul-sur-thérain pour me rendre à Verneuil-sur-avre	Bailleul-sur-thérain	Verneuil-sur-avre	
La ligne Nantouillet Le Chambon-feugerolles	Nantouillet	Le Chambon-feugerolles	
Le train Joue-les-tours Ablon-sur-seine	Joue-les-tours	Ablon-sur-seine	
Je quitte Loriol-sur-drôme pour Vermenton	Loriol-sur-drôme	Vermenton	
Je pars dimanche de Diemeringen pour aller à Tremblay-en-france	Diemeringen	Tremblay-en-france	dimanche
Je veux aller à Bertrichamps depuis Thuès-entre-valls	Thuès-entre-valls	Bertrichamps	
Emmène moi de La Meilleraie-tillay à Millau	La Meilleraie-tillay	Millau	
Je suis actuellement à Hendaye et j'aimerais partir à Tournon-saint-martin	Hendaye	Tournon-saint-martin	
Je pars vendredi soir de Saulieu pour aller à Torfou	Saulieu	Torfou	vendredi soir
Je veux aller de Marbache à La Perche	Marbache	La Perche	
itinéraire jusqu'a Gannat en partant de Saint-germain-les-belles	Saint-germain-les-belles	Gannat	
Je souhaiterai avoir des informations sur le train Gallargues-le-montueux Rueil-malmaison	Gallargues-le-montueux	Rueil-malmaison	
le départ et l'arrivée de mon voyage sont Sermaise et Drap	Sermaise	Drap	
je veux partir de Creil pour Loire-sur-rhône	Creil	Loire-sur-rhône	
arrivée Molinges et départ Torfou	Torfou	Molinges	
Je pars de Provenchères-sur-fave pour aller à Cagny dans deux heures	Provenchères-sur-fave	Cagny	dans deux heures
Je veux aller à Sarreinsming depuis Pure	Pure	Sarreinsming	
bientôt, je vais à Courçay depuis Plouharnel	Plouharnel	Courçay	bientôt
Auvers-sur-oise Marseillan	Auvers-sur-oise	Marseillan	
Quel est l'itinéraire entre Sierentz et Maroeuil	Sierentz	Maroeuil	
J'irai bien à la gare de Rambouillet depuis la gare de Juziers	Juziers	Rambouillet	
Quel trajet pour Fromental Sainte-colombe	Fromental	Sainte-colombe	
itinéraire Saint-hilaire-les-places Longueil-annel	Saint-hilaire-les-places	Longueil-annel	
Je pars de Camiers pour aller à Barenton-bugny	Camiers	Barenton-bugny	
Quel est l'itinéraire entre Lure et Ossun	Lure	Ossun	
le départ et l'arrivée de mon voyage sont Combourg et Lesparre-médoc	Combourg	Lesparre-médoc	
train Charmes Monnerville	Charmes	Monnerville	
Allons à Bauvin depuis Morhange	Morhange	Bauvin	
Je cherche un trajet de Liancourt-saint-pierre à Nimes	Liancourt-saint-pierre	Nimes	
Chaumont depuis Meaux	Meaux	Chaumont	
Quel trajet pour Chevaigné Thézy-glimont	Chevaigné	Thézy-glimont	
Je cherche un trajet de Thouaré-sur-loire à Dissay	Thouaré-sur-loire	Dissay	
jeudi matin je partirais de Bricon pour aller à Kogenheim	Bricon	Kogenheim	jeudi matin
Saint-seurin-sur-l'isle depuis Saint-pol-sur-ternoise	Saint-pol-sur-ternoise	Saint-seurin-sur-l'isle	
Comment me rendre à Milhac-d'auberoche depuis Saint-martory	Saint-martory	Milhac-d'auberoche	
Je souhaiterai avoir des informations sur le train Saint-quentin Tarbes	Saint-quentin	Tarbes	
Allons à Louvigny depuis Biars-sur-cère	Biars-sur-cère	Louvigny	
Je souhaiterai avoir des informations sur le train Ruffec Maillé qui part dans une demi-heure	Ruffec	Maillé	dans une demi-heure
Dol-de-bretagne vendredi depuis Coltainville	Coltainville	Dol-de-bretagne	vendredi
Montescourt-lizerolles depuis Saint-pierre-la-cour	Saint-pierre-la-cour	Montescourt-lizerolles	
Quel trajet pour Vernet Saint-martin-le-beau	Vernet	Saint-martin-le-beau	
Je pars de Seurre pour aller à Betton dimanche après-midi	Seurre	Betton	dimanche après-midi
Ma destination et ma provenance sont Lisle-sur-tarn et Blangy-sur-bresle	Blangy-sur-bresle	Lisle-sur-tarn	
Je cherche le train le plus rapide pour faire Saint-victurnien Barjac	Saint-victurnien	Barjac	
itinéraire Vichy Ablon-sur-seine	Vichy	Ablon-sur-seine	
Je prends le train Château-du-loir Varades	Château-du-loir	Varades	
Je partirais de Laneuveville-devant-nancy pour aller à La Fresnais	Laneuveville-devant-nancy	La Fresnais	
Emmène moi de Pont-du-château à Frouard	Pont-du-château	Frouard	
Je veux aller de Sucé-sur-erdre à Creteil	Sucé-sur-erdre	Creteil	
Donne moi l'itinéraire pour aller à Morcenx en partant de Saint-etienne-du-rouvray	Saint-etienne-du-rouvray	Morcenx	
Saint-hilaire-sur-helpe Dommary-baroncourt bientôt	Saint-hilaire-sur-helpe	Dommary-baroncourt	bientôt
Je suis actuellement à Romans-sur-isere et j'aimerais partir à Vieux-thann	Romans-sur-isere	Vieux-thann	
Comment aller de Saulnes à Poix-terron dans trois heures	Saulnes	Poix-terron	dans trois heures
Depuis Noyelles-sur-mer à Viroflay	Noyelles-sur-mer	Viroflay	
Donne moi l'itinéraire pour aller à Montbeliard en partant de Garnay	Garnay	Montbeliard	
je viens de Pontorson et je veux aller à Loudun	Pontorson	Loudun	
Je pars samedi de Viry-noureuil pour aller à Ors	Viry-noureuil	Ors	samedi
j'aimerais partir de Crécy-la-chapelle pour me rendre à Gresswiller	Crécy-la-chapelle	Gresswiller	
Je pars de Saleux pour aller à Airvault prochainement	Saleux	Airvault	prochainement
Le train Peschadoires Bazeilles	Peschadoires	Bazeilles	
Quel trajet pour Saint-sulpice-laurière Dangé-saint-romain	Saint-sulpice-laurière	Dangé-saint-romain	
Je prends le train Tincques Servas	Tincques	Servas	
Je cherche le train le plus rapide pour faire Le Rove Bazeilles mercredi après-midi	Le Rove	Bazeilles	mercredi après-midi
Comment aller à Rémelfing depuis Bidos	Bidos	Rémelfing	
Je voudrais aller de Courlandon à Le Teich demain	Courlandon	Le Teich	demain
train La Roche-sur-foron Roche-lez-beaupré dans deux heures	La Roche-sur-foron	Roche-lez-beaupré	dans deux heures
Je cherche un train Etaples Cournon-d'auvergne lundi après-midi	Etaples	Cournon-d'auvergne	lundi après-midi
Agonac mardi soir depuis Jarville-la-malgrange	Jarville-la-malgrange	Agonac	mardi soir
Comment aller de Sarreinsming à Artonges	Sarreinsming	Artonges	
Je pars de Serres pour aller à Dreuil-lès-amiens	Serres	Dreuil-lès-amiens	
ils veulent aller de Loriol-sur-drôme jusqu'à Banyuls-sur-mer	Loriol-sur-drôme	Banyuls-sur-mer	
Emmène moi de Solignac à Saint-hilaire-les-places	Solignac	Saint-hilaire-les-places	
Je prends le train Evry Tournon-saint-martin mardi matin	Evry	Tournon-saint-martin	mardi matin
je veux partir de Colomiers pour Cesson-sevigne	Colomiers	Cesson-sevigne	
je veux partir de Simiane-collongue pour Rouxmesnil-bouteilles	Simiane-collongue	Rouxmesnil-bouteilles	
trajet Hesdin Bayeux	Hesdin	Bayeux	
je vais à Neufchâteau depuis Damelevières	Damelevières	Neufchâteau	
Le train Digoin Gardanne	Digoin	Gardanne	
je viens de Langeac et je veux aller à Bonson	Langeac	Bonson	
Je pars de Poix-terron pour aller à La Chartre-sur-le-loir	Poix-terron	La Chartre-sur-le-loir	
Emmène moi de Surgères à Bitche	Surgères	Bitche	
Quel est l'itinéraire entre Crest et Meymac	Crest	Meymac	
Je voudrais aller de Aubevoye à Le Puy-en-velay	Aubevoye	Le Puy-en-velay	
Je souhaiterai avoir des informations sur le train Thiviers Étain	Thiviers	Étain	
Je cherche un trajet de Biarritz à Saint-cyprien	Biarritz	Saint-cyprien	
Comment aller de Gundershoffen à Bar-le-duc jeudi après-midi	Gundershoffen	Bar-le-duc	jeudi après-midi
itinéraire Laizy Rimaucourt	Laizy	Rimaucourt	
Quel trajet pour Saint-seurin-sur-l'isle Villefranche-de-rouergue	Saint-seurin-sur-l'isle	Villefranche-de-rouergue	
Je veux le trajet de Seurre à Lisle-sur-tarn	Seurre	Lisle-sur-tarn	
Je veux aller de Antibes à Revin	Antibes	Revin	
Comment aller de Lens à Sainte-genevieve-des-bois	Lens	Sainte-genevieve-des-bois	
le départ et l'arrivée de mon voyage sont Buzy-darmont et Solignac	Buzy-darmont	Solignac	
Je prends le train Marle Podensac	Marle	Podensac	
Itinéraire Évron Saint-fargeau-ponthierry	Évron	Saint-fargeau-ponthierry	
Je veux aller à Salindres depuis Bois-colombes	Bois-colombes	Salindres	
Je prends le train Nimes Le Pouzin vendredi soir	Nimes	Le Pouzin	vendredi soir
Je cherche un trajet de Saint-agnan à Monteux	Saint-agnan	Monteux	
Je prends le train Saint-saviol Tournus	Saint-saviol	Tournus	
Le train Mériel La Haie-fouassière	Mériel	La Haie-fouassière	
Je pars de Lagnieu pour aller à Vittel	Lagnieu	Vittel	
Ma destination et ma provenance sont Saint-saviol et Bessé-sur-braye	Bessé-sur-braye	Saint-saviol	
dans cinq heures je partirais de Sierentz pour aller à Villetaneuse	Sierentz	Villetaneuse	dans cinq heures
itinéraire jusqu'a Bussy-lettrée en partant de Gauriaguet	Gauriaguet	Bussy-lettrée	
La ligne Tamnay-en-bazois Le Bousquet-d'orb	Tamnay-en-bazois	Le Bousquet-d'orb	
Trouve un train partant de Châteauneuf-sur-charente et allant à Poussay	Châteauneuf-sur-charente	Poussay	
Je cherche un trajet de Trosly-breuil à Reignier vendredi	Trosly-breuil	Reignier	vendredi
Je cherche le train le plus rapide pour faire Étriché Cognac dans deux heures	Étriché	Cognac	dans deux heures
Je pars lundi soir de Mamirolle pour aller à Montmélian	Mamirolle	Montmélian	lundi soir
Lamagistère Saint-pierre-d'albigny	Lamagistère	Saint-pierre-d'albigny	
Comment aller de Baisieux à Triel-sur-seine	Baisieux	Triel-sur-seine	
train La Bernerie-en-retz Neuillé-pont-pierre	La Bernerie-en-retz	Neuillé-pont-pierre	
Je cherche le train le plus rapide pour faire Turckheim Fontanes dimanche soir	Turckheim	Fontanes	dimanche soir
Je pars dans une demi-heure de Vivoin pour aller à Poinçon-lès-larrey	Vivoin	Poinçon-lès-larrey	dans une demi-heure
Je pars de Muille-villette pour aller à Meursault	Muille-villette	Meursault	
Comment aller de Arques à Vallenay	Arques	Vallenay	
Je cherche le train le plus rapide pour faire La Jonchère-saint-maurice Saint-quentin-fallavier	La Jonchère-saint-maurice	Saint-quentin-fallavier	
Je pars de Lamagistère pour aller à Les Sables-d'olonne	Lamagistère	Les Sables-d'olonne	
Je veux aller à Saint-rambert-d'albon depuis Bandol	Bandol	Saint-rambert-d'albon	
Je souhaiterai avoir des informations sur le train Ploemel Saint-paul-de-varax	Ploemel	Saint-paul-de-varax	
train Beynost La Possonnière	Beynost	La Possonnière	
Je cherche un train Frontignan La Porcherie dans une heure	Frontignan	La Porcherie	dans une heure
Je pars dans quatre heures de Morières-lès-avignon pour aller à Péronne	Morières-lès-avignon	Péronne	dans quatre heures
Comment aller de Ligny-en-barrois à Wacquemoulin samedi matin	Ligny-en-barrois	Wacquemoulin	samedi matin
Je souhaiterai avoir des informations sur le train Menars Montauban-de-bretagne	Menars	Montauban-de-bretagne	
Je prends le train Noyant-de-touraine Chemillé vendredi après-midi	Noyant-de-touraine	Chemillé	vendredi après-midi
Donne moi l'itinéraire pour aller à Livry-sur-seine en partant de Maroeuil	Maroeuil	Livry-sur-seine	
dans un moment, je vais à Aurec-sur-loire depuis Bidarray	Bidarray	Aurec-sur-loire	dans un moment
Je veux me rendre à Vannes en partant de Pornichet	Pornichet	Vannes	
train Seltz Blanzay prochainement	Seltz	Blanzay	prochainement
Montreuil-juigné Hochfelden	Montreuil-juigné	Hochfelden	
Allons à Prin-deyrançon depuis Laroquebrou	Laroquebrou	Prin-deyrançon	
J'irai bien à la gare de Cugand depuis la gare de Bourg-madame	Bourg-madame	Cugand	
Je suis actuellement à L'hôpital-du-grosbois et j’aimerais partir à Vergigny jeudi soir	L'hôpital-du-grosbois	Vergigny	jeudi soir
Quel est l'itinéraire entre Diarville et Le Pouzin	Diarville	Le Pouzin	
Je cherche un train Plaintel Chaux-des-crotenay dimanche soir	Plaintel	Chaux-des-crotenay	dimanche soir
Je prends le train Le Teich Saint-jean-de-luz demain matin	Le Teich	Saint-jean-de-luz	demain matin
arrivée Loupershouse et départ Nexon	Nexon	Loupershouse	
Je prends le train Ossun Mauzé-sur-le-mignon	Ossun	Mauzé-sur-le-mignon	
mercredi je partirais de Plouharnel pour aller à Languenan	Plouharnel	Languenan	mercredi
Je veux aller de Montmorillon à Agonac	Montmorillon	Agonac	
Je suis à La Wantzenau et je veux aller à Valençay	La Wantzenau	Valençay	
Je veux aller à Pommeuse depuis L'isle-d'abeau	L'isle-d'abeau	Pommeuse	
trajet Montbartier Achiet-le-grand	Montbartier	Achiet-le-grand	
le départ et l'arrivée de mon voyage sont Vannes et Breny	Vannes	Breny	
Teting-sur-nied Landévant	Teting-sur-nied	Landévant	
train Auboué Le Cailar	Auboué	Le Cailar	
Donne moi l'itinéraire pour aller à Saint-jean-de-maurienne en partant de Trignac	Trignac	Saint-jean-de-maurienne	
Je pars dans une heure de Les Moutiers-en-retz pour aller à Nanterre	Les Moutiers-en-retz	Nanterre	dans une heure
J'aimerais me rendre sur Belvès en partant de Issoire	Issoire	Belvès	
Je suis actuellement à Wizernes et j’aimerais partir à Longueil-annel	Wizernes	Longueil-annel	
Ma provenance et ma destination sont Baraqueville et Vertou	Baraqueville	Vertou	
Trouve le chemin pour Issou depuis Saint-hilaire-au-temple.	Saint-hilaire-au-temple	Issou	
Trouve le chemin pour Sept-saulx depuis Harfleur.	Harfleur	Sept-saulx	
Je voudrais aller de Le Rove à Saint-cyprien	Le Rove	Saint-cyprien	
j'aimerais partir de Salbris pour me rendre à Saint-savinien	Salbris	Saint-savinien	
Je souhaiterai avoir des informations sur le train Saint-jean-de-maurienne Saint-rabier qui part dimanche	Saint-jean-de-maurienne	Saint-rabier	dimanche
Quel trajet pour Gourdan-polignan Drulingen	Gourdan-polignan	Drulingen	
train Espira-de-l'agly Mattaincourt	Espira-de-l'agly	Mattaincourt	
Itiniréraire jusqu'a Chenevières depuis Gisors	Gisors	Chenevières	
Je me rends à Serqueux en partant de Villefranche-de-lauragais	Villefranche-de-lauragais	Serqueux	
train Enghien-les-bains Saint-herblain	Enghien-les-bains	Saint-herblain	
Comment aller de Oissel à Rethel	Oissel	Rethel	
Je voudrais aller de Pamiers à Laragne-montéglin	Pamiers	Laragne-montéglin	
Donne moi l'itinéraire pour aller à Bellac en partant de Tantonville	Tantonville	Bellac	
itinéraire Mehun-sur-yèvre Bouzonville	Mehun-sur-yèvre	Bouzonville	
arrivée Chadenet et départ Laval	Laval	Chadenet	
Je pars de Vaires-sur-marne pour aller à Breny la semaine prochaine	Vaires-sur-marne	Breny	la semaine prochaine
Je cherche le train le plus rapide pour faire Bolozon Mulhouse dimanche après-midi	Bolozon	Mulhouse	dimanche après-midi
Saint-yrieix-la-perche depuis Chasseradès	Chasseradès	Saint-yrieix-la-perche	
Je cherche un train Le Quesnoy Épierre jeudi matin	Le Quesnoy	Épierre	jeudi matin
Je suis actuellement à Tarascon-sur-ariège et j’aimerais partir à Chagny	Tarascon-sur-ariège	Chagny	
Je veux trouver un trajet de Pessac à Luxeuil-les-bains	Pessac	Luxeuil-les-bains	
Je cherche un trajet de Le Grand-lemps à Coueron	Le Grand-lemps	Coueron	
Le train Étriché Mouy	Étriché	Mouy	
Je cherche le train le plus rapide pour faire Boucau Vielmur-sur-agout dimanche après-midi	Boucau	Vielmur-sur-agout	dimanche après-midi
Je suis à Cinq-mars-la-pile et je souhaite me rendre à Étrembières	Cinq-mars-la-pile	Étrembières	
Je souhaiterai avoir des informations sur le train Buzy Bernay qui part mardi soir	Buzy	Bernay	mardi soir
Depuis Bruyères à Cambo-les-bains	Bruyères	Cambo-les-bains	
itinéraire de voyage de La Perche vers Briancon	La Perche	Briancon	
maintenant, je vais à Saint-denis-lès-martel depuis Naintré	Naintré	Saint-denis-lès-martel	maintenant
Je cherche un train Pont-audemer Trentels mardi	Pont-audemer	Trentels	mardi
Je prends le train Deluz Lacq	Deluz	Lacq	
de Terrasson-lailledieu à Lacelle	Terrasson-lailledieu	Lacelle	
jeudi après-midi Saint-lothain Itxassou	Saint-lothain	Itxassou	jeudi après-midi
Je partirais de Mouans-sartoux pour aller à Saint-hervé	Mouans-sartoux	Saint-hervé	
Quel est l'itinéraire entre Lons-le-saunier et Feuquières	Lons-le-saunier	Feuquières	
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Sainte-colombe et gare de Ceaux-en-couhé	Sainte-colombe	Ceaux-en-couhé	
je veux partir de Meulan pour Tremblay-en-france	Meulan	Tremblay-en-france	
ils veulent aller de Vitry-la-ville jusqu'à Attin	Vitry-la-ville	Attin	
Je cherche le train le plus rapide pour faire Sillé-le-guillaume Peschadoires vendredi	Sillé-le-guillaume	Peschadoires	vendredi
train Athis-mons Saint-cyprien	Athis-mons	Saint-cyprien	
Je voudrais aller de Vaucresson à Arpajon dimanche matin	Vaucresson	Arpajon	dimanche matin
Cellule depuis Saint-georges-sur-eure	Saint-georges-sur-eure	Cellule	
Je suis actuellement à Mothern et j’aimerais partir à Le Grau-du-roi	Mothern	Le Grau-du-roi	
Je cherche un train Vendeuvre Lacq dimanche	Vendeuvre	Lacq	dimanche
Je cherche le train le plus rapide pour faire Hyeres Batz-sur-mer	Hyeres	Batz-sur-mer	
Ma provenance et ma destination sont Squiffiec et Villabé	Squiffiec	Villabé	
Indique moi le chemin pour Peschadoires depuis Barentin	Barentin	Peschadoires	
Depuis Saint-germain-sur-meuse à Montendre	Saint-germain-sur-meuse	Montendre	
Indique moi le chemin pour Laroquebrou depuis Milhac-d'auberoche	Milhac-d'auberoche	Laroquebrou	
Je cherche le train le plus rapide pour faire Apach Drancy	Apach	Drancy	
Depuis Bollwiller à Lingolsheim	Bollwiller	Lingolsheim	
je vais à Stains depuis Vidauban	Vidauban	Stains	
Je quitte Varen pour Morières-lès-avignon	Varen	Morières-lès-avignon	
Comment me rendre à Pontrieux depuis Aixe-sur-vienne	Aixe-sur-vienne	Pontrieux	
Itiniréraire jusqu'a Mennecy depuis Chabris	Chabris	Mennecy	
Emmène moi de Verruyes à Plougonver	Verruyes	Plougonver	
Mailly-la-ville lundi depuis Leval	Leval	Mailly-la-ville	lundi
dans quatre heures, je vais à Loreux depuis Avignonet-lauragais	Avignonet-lauragais	Loreux	dans quatre heures
Je suis actuellement à Chenonceaux et j’aimerais partir à Saint-etienne	Chenonceaux	Saint-etienne	
Ossun Santeuil	Ossun	Santeuil	
Comment aller de L'isle-sur-le-doubs à Changis-sur-marne samedi soir	L'isle-sur-le-doubs	Changis-sur-marne	samedi soir
Je suis actuellement à Marcq-en-baroeul et j'aimerais partir à Thouaré-sur-loire	Marcq-en-baroeul	Thouaré-sur-loire	
Saint-pierre-en-faucigny dans trois heures depuis Bandol	Bandol	Saint-pierre-en-faucigny	dans trois heures
Le train Bidarray Herblay	Bidarray	Herblay	
j'aimerais partir de Marolles pour me rendre à Gouaix	Marolles	Gouaix	
Quel trajet pour Épernon Estissac	Épernon	Estissac	
Je cherche le train le plus rapide pour faire Le Havre Maurs mardi soir	Le Havre	Maurs	mardi soir
je viens de Viry-noureuil et je veux aller à Marolles	Viry-noureuil	Marolles	
je vais à Wimille depuis Amnéville	Amnéville	Wimille	
Je cherche un train Salzuit Ay samedi matin	Salzuit	Ay	samedi matin
Je cherche un train Muhlbach-sur-munster Le Thou dans un moment	Muhlbach-sur-munster	Le Thou	dans un moment
Le train Buzet-sur-tarn Le Coteau	Buzet-sur-tarn	Le Coteau	
Je veux aller de Villenouvelle à Annecy	Villenouvelle	Annecy	
train Sain-bel Baillargues	Sain-bel	Baillargues	
Je voudrais aller de Chécy à Saint-amand-les-eaux aujourd'hui	Chécy	Saint-amand-les-eaux	aujourd'hui
Pont-d'ain Geispolsheim	Pont-d'ain	Geispolsheim	
L'arrivée et le départ de mon voyage sont Nexon et Harfleur	Harfleur	Nexon	
dimanche après-midi Saint-valery-en-caux Saint-dizier	Saint-valery-en-caux	Saint-dizier	dimanche après-midi
Quel trajet pour Morières-lès-avignon Druye	Morières-lès-avignon	Druye	
Je prends le train Port-vendres Messein dimanche	Port-vendres	Messein	dimanche
Je prends le train Carignan Orthez	Carignan	Orthez	
Brandérion samedi depuis Retiers	Retiers	Brandérion	samedi
je partirais de Baillargues pour aller à Ancenis	Baillargues	Ancenis	
La ligne Saint-cyr-en-val Gerzat	Saint-cyr-en-val	Gerzat	
Ma destination et ma provenance sont La Chapelle-sur-loire et Sceaux	Sceaux	La Chapelle-sur-loire	
de Le Bousquet-d'orb à Tulle	Le Bousquet-d'orb	Tulle	
Guide moi de Gestel vers Mirecourt	Gestel	Mirecourt	
Je veux aller de Saint-michel-sur-meurthe à Louroux-de-bouble	Saint-michel-sur-meurthe	Louroux-de-bouble	
demain soir, je vais à Retiers depuis Entraigues-sur-la-sorgue	Entraigues-sur-la-sorgue	Retiers	demain soir
Trouve le chemin pour Chatillon depuis Saint-usage.	Saint-usage	Chatillon	
train Wingen-sur-moder Roeschwoog	Wingen-sur-moder	Roeschwoog	
Je cherche le train le plus rapide pour faire Bellegarde-sur-valserine Aurec-sur-loire	Bellegarde-sur-valserine	Aurec-sur-loire	
Ma provenance et ma destination sont Audes et Chalons-en-champagne	Audes	Chalons-en-champagne	
Je partirais de Perigueux pour aller à Lestrem	Perigueux	Lestrem	
mardi soir je partirais de Illzach pour aller à Montrabé	Illzach	Montrabé	mardi soir
Je souhaiterai avoir des informations sur le train Saint-omer Yvetot	Saint-omer	Yvetot	
Je cherche un trajet de Pougues-les-eaux à Tulle	Pougues-les-eaux	Tulle	
Quel trajet pour Luce Bretigny-sur-orge	Luce	Bretigny-sur-orge	
Je veux aller à Pougny depuis Chessy	Chessy	Pougny	
ils veulent aller de Saint-priest-de-gimel jusqu'à La Chartre-sur-le-loir	Saint-priest-de-gimel	La Chartre-sur-le-loir	
Guide moi de Arc-lès-gray vers Beuzeville	Arc-lès-gray	Beuzeville	
Étain Levallois-perret	Étain	Levallois-perret	
Langon Chartrettes dimanche matin	Langon	Chartrettes	dimanche matin
La ligne Bords Saint-pol-sur-ternoise	Bords	Saint-pol-sur-ternoise	
Je prends le train Puteaux Airvault	Puteaux	Airvault	
dans un instant Fontaine-le-port Laveissière	Fontaine-le-port	Laveissière	dans un instant
Je souhaiterai avoir des informations sur le train Enveitg Bitche	Enveitg	Bitche	
Je partirais de Imphy pour aller à Vienne	Imphy	Vienne	
Le train Bueil Bresles	Bueil	Bresles	
dans un instant je partirais de Givry pour aller à Loudun	Givry	Loudun	dans un instant
Itinéraire Raon-l'étape Kilstett	Raon-l'étape	Kilstett	
train Heilles Langogne	Heilles	Langogne	
Guide moi de Dettwiller vers Valenton	Dettwiller	Valenton	
Je cherche le train le plus rapide pour faire La Charité-sur-loire Brée	La Charité-sur-loire	Brée	
Indique moi le chemin pour Brebières depuis Athies-sous-laon	Athies-sous-laon	Brebières	
j'aimerais partir de Morteaux-couliboeuf pour me rendre à Massiac	Morteaux-couliboeuf	Massiac	
La ligne Grasse Billy-montigny	Grasse	Billy-montigny	
Je souhaiterai avoir des informations sur le train Gerzat Chantonnay qui part mercredi matin	Gerzat	Chantonnay	mercredi matin
train Pleine-fougères Sotteville-les-rouen	Pleine-fougères	Sotteville-les-rouen	
je veux partir de Miramas pour Orthez	Miramas	Orthez	
dans une heure, je voudrais aller de Bailleau-le-pin à Blangy-sur-bresle	Bailleau-le-pin	Blangy-sur-bresle	dans une heure
Ma destination et ma provenance sont Thouaré-sur-loire et Lubersac	Lubersac	Thouaré-sur-loire	
Je suis actuellement à Salomé et j'aimerais partir à Parempuyre	Salomé	Parempuyre	
Quel est l'itinéraire entre Celon et Laval-de-cère	Celon	Laval-de-cère	
Indique moi le chemin pour Villard-bonnot depuis Montsoult	Montsoult	Villard-bonnot	
Je me rends à Wintzenheim en partant de Marly-le-roi	Marly-le-roi	Wintzenheim	
trajet Concarneau Thiaville-sur-meurthe	Concarneau	Thiaville-sur-meurthe	
je veux partir de Vaucresson pour Le Douhet	Vaucresson	Le Douhet	
trajet Gap Chanteloup-les-vignes	Gap	Chanteloup-les-vignes	
je veux partir de Clerval pour Assat	Clerval	Assat	
J'aimerais me rendre sur Revin en partant de Dompierre-sur-mer	Dompierre-sur-mer	Revin	
Depuis Raedersheim à Picquigny	Raedersheim	Picquigny	
Je suis actuellement à Saint-leu-d'esserent et j’aimerais partir à Foucart	Saint-leu-d'esserent	Foucart	
train Les Cabannes Dreux	Les Cabannes	Dreux	
dans une demi-heure, je voudrais aller de Mauzens-et-miremont à Pont-audemer	Mauzens-et-miremont	Pont-audemer	dans une demi-heure
train Siorac-en-périgord Preignac	Siorac-en-périgord	Preignac	
Le train Saint-brice-sur-vienne Montbizot	Saint-brice-sur-vienne	Montbizot	
Comment aller de Sainte-gauburge-sainte-colombe à Baziège	Sainte-gauburge-sainte-colombe	Baziège	
trajet Eaubonne Fontenay-le-comte	Eaubonne	Fontenay-le-comte	
lundi, je voudrais aller de Serquigny à Campagne Château-chinon	Serquigny	Campagne Château-chinon	lundi
Je voudrais aller de Espira-de-l'agly à Écouché	Espira-de-l'agly	Écouché	
La ligne Villeneuve-la-guyard Saint-pierre-quiberon	Villeneuve-la-guyard	Saint-pierre-quiberon	
Je veux aller de Chézy-sur-marne à Dammarie-les-lys dimanche	Chézy-sur-marne	Dammarie-les-lys	dimanche
Je pars de Chamalieres pour aller à Saint-masmes	Chamalieres	Saint-masmes	
Je veux trouver un trajet de Loriol-sur-drôme à Ingrandes	Loriol-sur-drôme	Ingrandes	
Depuis Longué-jumelles à Monistrol-d'allier	Longué-jumelles	Monistrol-d'allier	
Je pars de Le Teil pour aller à Salaise-sur-sanne	Le Teil	Salaise-sur-sanne	
train Hargicourt Thann	Hargicourt	Thann	
Le train Montbré Connantre	Montbré	Connantre	
Quel est l'itinéraire entre Bords et Castillon-la-bataille	Bords	Castillon-la-bataille	
Quel trajet pour Bresles Metzeral	Bresles	Metzeral	
itinéraire Milhaud Mantes-la-jolie	Milhaud	Mantes-la-jolie	
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Voivres-lès-le-mans et gare de Chateau-gontier	Voivres-lès-le-mans	Chateau-gontier	
Je suis à Tourville-la-rivière et je veux aller à Montereau-fault-yonne	Tourville-la-rivière	Montereau-fault-yonne	
Mervans depuis Ribécourt-dreslincourt	Ribécourt-dreslincourt	Mervans	
